id,content,options,answer,chapter,topic,skills,level,source,explaine,suggest
Mã câu hỏi,Nội dung câu hỏi,Lựa chọn,Trả lời,Chương,Bài,Kỹ năng,Độ khó,Trang sách,Giải thích,Gợi ý học tập
PHY8_001,Khối lượng riêng của một chất là gì?,A. Khối lượng của một vật; B. Khối lượng của một đơn vị thể tích chất đó; C. Thể tích của một đơn vị khối lượng; D. Trọng lượng trên một đơn vị diện tích,B,Chương 3,Bài 13: Khối lượng riêng,Khối lượng riêng,Nhận biết,SGK-Tr56,Định nghĩa cơ bản: Khối lượng riêng cho biết khối lượng của 1m3 (hoặc 1cm3) chất đó.,Đọc kỹ khái niệm tại mục I Bài 13 SGK. Tránh nhầm với trọng lượng riêng.
PHY8_002,Đơn vị đo khối lượng riêng thường dùng là?,A. kg/m2; B. kg/m3; C. N/m3; D. m3/kg,B,Chương 3,Bài 13: Khối lượng riêng,Khối lượng riêng,Nhận biết,SGK-Tr56,"Trong hệ SI, khối lượng đo bằng kg, thể tích bằng m3, nên đơn vị là kg/m3.",Ghi nhớ bảng đơn vị đo lường cơ bản tại trang 56 SGK.
PHY8_003,Công thức tính khối lượng riêng là?,A. D=m/V; B. D=V/m; C. D=m.V; D. D=P/V,A,Chương 3,Bài 13: Khối lượng riêng,Khối lượng riêng,Nhận biết,SGK-Tr56,"D là khối lượng riêng, m là khối lượng, V là thể tích.","Vẽ ""Tam giác công thức"" (m ở đỉnh, D và V ở đáy) để dễ ghi nhớ các biến thể."
PHY8_004,"Muốn đo khối lượng riêng của các hòn bi thủy tinh, ta cần dùng dụng cụ nào?",A. Cân và thước dây; B. Cân và bình chia độ; C. Lực kế và thước; D. Bình chia độ,B,Chương 3,Bài 14: Thực hành KLR,Khối lượng riêng,Thông hiểu,SGK-Tr59,"Cân để đo khối lượng (m), bình chia độ để đo thể tích (V).",Xem lại các bước thực hành tại Bài 14. Nhớ cách đo thể tích vật rắn bằng bình tràn.
PHY8_005,"Một khối kim loại có m=540g, V=200cm3. Khối lượng riêng là?","A. 2,7g/cm3; B. 0,37g/cm3; C. 27g/cm3; D. 270g/cm3",A,Chương 3,Bài 13: Khối lượng riêng,Khối lượng riêng,Vận dụng,SBT-Tr41,"Áp dụng D=m/V=540/200=2,7(g/cm3).","Chú ý đơn vị của đáp án. Nếu đáp án là kg/m3, bạn cần nhân thêm 1000."
PHY8_006,"Khi tăng nhiệt độ một thanh sắt, khối lượng riêng của nó sẽ?",A. Tăng; B. Giảm; C. Không đổi; D. Lúc tăng lúc giảm,B,Chương 3,Bài 13: Khối lượng riêng,Khối lượng riêng,Thông hiểu,SBT-Tr41,"Khi nóng lên, V tăng nhưng m không đổi, nên D=m/V sẽ giảm.",Học về sự nở vì nhiệt của chất rắn. Nhớ rằng khối lượng không bao giờ thay đổi khi nóng lên.
PHY8_007,Áp lực là gì?,A. Lực ép có phương bất kì; B. Lực ép có phương vuông góc với mặt bị ép; C. Lực hút của Trái Đất; D. Lực kéo của động cơ,B,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Nhận biết,SGK-Tr64,"Theo định nghĩa, áp lực phải có phương vuông góc với bề mặt bị ép.","Phân biệt lực kéo, lực đẩy thông thường với áp lực (phải có bề mặt bị ép)."
PHY8_008,Công thức tính áp suất là?,A. p=F.S; B. p=F/S; C. p=S/F; D. p=P/V,B,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Nhận biết,SGK-Tr65,Áp suất bằng áp lực chia cho diện tích bị ép.,Đừng nhầm lẫn với công thức khối lượng riêng D=m/V.
PHY8_009,1 Pascal (Pa) bằng?,A. 1N/m2; B. 1N/cm2; C. 1kg/m2; D. 1N.m2,A,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Nhận biết,SGK-Tr66,Đơn vị chuẩn của áp suất: 1Pa=1N/m2.,"Nhớ đơn vị S luôn là m2. Nếu đề cho cm2, phải đổi đơn vị trước khi tính."
PHY8_010,"Để tăng áp suất, ta có thể?","A. Giảm áp lực, giữ nguyên diện tích; B. Tăng diện tích, giữ nguyên áp lực; C. Tăng áp lực và giảm diện tích bị ép; D. Giảm áp lực và tăng diện tích",C,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Thông hiểu,SGK-Tr66,"Dựa vào p=F/S, p tăng khi F tăng hoặc S giảm.",Suy luận từ biểu thức toán học: p tỉ lệ thuận với F và tỉ lệ nghịch với S.
PHY8_011,Tại sao lưỡi dao càng mỏng thì dao càng sắc?,"A. Để tăng áp lực; B. Để giảm diện tích bị ép, tăng áp suất; C. Để tăng diện tích bị ép; D. Để dao đẹp hơn",B,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Thông hiểu,SBT-Tr44,"Diện tích tiếp xúc S nhỏ làm áp suất p lớn, giúp dao cắt dễ hơn.","Liên hệ thực tế với các vật nhọn: đinh, kim, mũi khoan đều có đầu rất nhỏ."
PHY8_012,Áp suất chất lỏng tác dụng lên?,"A. Đáy bình; B. Thành bình; C. Các vật trong lòng chất lỏng; D. Cả A, B, C đều đúng",D,Chương 3,Bài 16: Áp suất chất lỏng,Áp lực & Áp suất,Nhận biết,SGK-Tr67,"Chất lỏng gây áp suất theo mọi hướng lên đáy, thành và các vật bên trong.",Xem thí nghiệm dùng màng cao su tại Bài 16 để thấy áp suất tác dụng đa chiều.
PHY8_013,Tại sao các thợ lặn sâu phải mặc bộ đồ lặn chịu áp suất cao?,A. Do nước biển lạnh; B. Do áp suất chất lỏng rất lớn ở độ sâu; C. Để lặn nhanh hơn; D. Để tránh cá mập,B,Chương 3,Bài 16: Áp suất chất lỏng,Áp lực & Áp suất,Thông hiểu,SGK-Tr69,"Áp suất chất lỏng tỉ lệ với độ sâu (p=d.h), lặn càng sâu áp suất càng mạnh.",Nhớ công thức p=d.h. Càng sâu thì h càng lớn nên p càng lớn.
PHY8_014,"Trong bình thông nhau chứa cùng một chất lỏng đứng yên, mực chất lỏng ở các nhánh sẽ?",A. Nhánh to cao hơn; B. Nhánh nhỏ cao hơn; C. Ở cùng một độ cao; D. Tùy vào hình dạng nhánh,C,Chương 3,Bài 16: Áp suất chất lỏng,Áp lực & Áp suất,Nhận biết,SGK-Tr70,Nguyên lý bình thông nhau: mực chất lỏng luôn bằng nhau ở mọi nhánh.,Quan sát ấm trà hoặc ống tiều đo mực nước trong xây dựng để thấy ứng dụng này.
